iter	Passed	Remaining
577	748	417
578	749	415
579	750	414
580	751	412
581	752	411
582	753	409
583	754	408
584	755	407
585	757	405
586	758	404
587	759	402
588	760	401
589	761	400
590	762	398
591	763	397
592	764	396
593	766	394
594	767	393
595	768	391
596	769	390
597	770	389
598	771	387
599	772	386
600	774	385
601	775	383
602	776	382
603	777	380
604	778	379
605	779	378
606	780	376
607	781	375
608	783	374
609	784	372
610	785	371
611	786	370
612	787	368
613	788	367
614	789	366
615	791	364
616	792	363
617	793	361
618	794	360
619	795	359
620	796	358
621	797	356
622	798	355
623	799	353
624	800	352
625	802	351
626	803	349
627	804	348
628	805	347
629	806	345
630	807	344
631	808	343
632	810	342
633	811	340
634	813	339
635	814	338
636	815	336
637	816	335
638	817	333
639	818	332
640	819	331
641	820	329
642	821	328
643	822	327
644	824	325
645	825	324
646	826	323
647	827	321
648	828	320
649	829	318
650	830	317
651	831	316
652	832	314
653	833	313
654	834	312
655	835	310
656	836	309
657	838	308
658	839	306
659	840	305
660	841	304
661	842	302
662	843	301
663	844	300
664	845	298
665	846	297
666	847	296
667	848	294
668	849	293
669	851	292
670	852	290
671	853	289
672	854	288
673	855	286
674	856	285
675	857	284
676	858	282
677	859	281
678	860	280
679	862	278
680	863	277
681	864	276
682	865	274
683	866	273
684	867	272
685	868	270
686	869	269
687	870	268
688	871	266
689	872	265
690	873	264
691	874	263
692	876	261
693	877	260
694	878	259
695	879	257
696	880	256
697	881	255
698	883	253
699	884	252
700	885	251
701	886	250
702	887	248
703	888	247
704	889	246
705	890	244
706	891	243
707	892	242
708	893	240
709	894	239
710	896	238
711	896	236
712	898	235
713	899	234
714	900	232
715	901	231
716	902	230
717	903	229
718	904	227
719	905	226
720	906	225
721	907	223
722	909	222
723	910	221
724	911	219
725	912	218
726	913	217
727	914	216
728	915	214
729	916	213
730	918	212
731	919	210
732	920	209
733	921	208
734	922	207
735	923	205
736	924	204
737	925	203
738	926	201
739	927	200
740	928	199
741	929	197
742	930	196
743	931	195
744	933	194
745	934	192
746	935	191
747	936	190
748	937	189
749	938	187
750	939	186
751	940	185
752	942	183
753	943	182
754	944	181
755	945	180
756	946	178
757	947	177
758	948	176
759	949	174
760	950	173
761	951	172
762	952	171
763	953	169
764	954	168
765	955	167
766	956	165
767	957	164
768	958	163
769	959	162
770	961	160
771	962	159
772	963	158
773	964	157
774	965	155
775	966	154
776	968	153
777	969	151
778	970	150
779	971	149
780	972	148
781	973	146
782	974	145
783	975	144
784	976	143
785	977	141
786	978	140
787	979	139
788	980	137
789	982	136
790	983	135
791	984	134
792	985	132
793	986	131
794	987	130
795	988	129
796	989	127
797	990	126
798	991	125
799	992	124
800	993	122
801	994	121
802	996	120
803	997	119
804	998	117
805	999	116
806	1000	115
807	1001	114
808	1002	112
809	1003	111
810	1004	110
811	1005	108
812	1006	107
813	1007	106
814	1008	105
815	1009	103
816	1010	102
817	1012	101
818	1013	100
819	1014	98
820	1015	97
821	1016	96
822	1017	95
823	1018	93
824	1019	92
825	1020	91
826	1021	90
827	1022	88
828	1024	87
829	1025	86
830	1026	85
831	1027	83
832	1028	82
833	1029	81
834	1030	80
835	1031	78
836	1033	77
837	1034	76
838	1035	75
839	1036	74
840	1037	72
841	1038	71
842	1039	70
843	1040	69
844	1041	67
845	1042	66
846	1044	65
847	1045	64
848	1046	62
849	1047	61
850	1048	60
851	1049	59
852	1050	57
853	1051	56
854	1053	55
855	1054	54
856	1055	52
857	1056	51
858	1057	50
859	1058	49
860	1059	48
861	1060	46
862	1061	45
863	1062	44
864	1063	43
865	1064	41
866	1066	40
867	1067	39
868	1068	38
869	1069	36
870	1070	35
871	1071	34
872	1072	33
873	1073	31
874	1074	30
875	1075	29
876	1077	28
877	1078	27
878	1079	25
879	1080	24
880	1081	23
881	1082	22
882	1083	20
883	1084	19
884	1085	18
885	1086	17
886	1087	15
887	1089	14
888	1090	13
889	1091	12
890	1092	11
891	1093	9
892	1094	8
893	1095	7
894	1097	6
895	1098	4
896	1099	3
897	1100	2
898	1101	1
899	1102	0
