iter	RMSE
164	0.2215403656
165	0.2213241633
166	0.2209796971
167	0.2205065473
168	0.2200101122
169	0.2196722029
170	0.2193824064
171	0.2191919397
172	0.2187913876
173	0.2184178458
174	0.2179327679
175	0.2176392364
176	0.2173878762
177	0.2172507464
178	0.2168905362
179	0.2165217485
180	0.2161972777
181	0.215986918
182	0.2157010639
183	0.2153335715
184	0.2150001249
185	0.2145664159
186	0.2141822799
187	0.2133886081
188	0.213056472
189	0.2128045804
190	0.212562227
191	0.21237434
192	0.2121201187
193	0.2117549268
194	0.2114223454
195	0.2112919351
196	0.2105032474
197	0.210444107
198	0.2100474109
199	0.2096955579
200	0.2092264434
201	0.2090151386
202	0.2087982074
203	0.208410852
204	0.2078418256
205	0.2075756252
206	0.2070110073
207	0.2067550945
208	0.2066411341
209	0.2064874181
210	0.2062387695
211	0.2059340824
212	0.2056436477
213	0.2054543259
214	0.2052361424
215	0.2050019642
216	0.204432086
217	0.2039190993
218	0.2036238885
219	0.2031824819
220	0.2030028078
221	0.2028539239
222	0.2026517401
223	0.2023440562
224	0.2018445065
225	0.201270689
226	0.2007862741
227	0.2006202836
228	0.2000507367
229	0.1998945559
230	0.1996972075
231	0.1994123848
232	0.1986938503
233	0.1981299195
234	0.1976261094
235	0.1974984437
236	0.1973945931
237	0.1971843202
238	0.1967166949
239	0.1966214277
240	0.1963958319
241	0.1960295928
242	0.1958179405
243	0.1953967737
244	0.1951661023
245	0.1948905038
246	0.1947176025
247	0.1945203045
248	0.1943919159
249	0.1940412513
250	0.1939276404
251	0.1937834838
252	0.1931745301
253	0.192916992
254	0.1927944635
255	0.1924837305
256	0.1922175137
257	0.1919833894
258	0.1917905112
259	0.1914477658
260	0.1913547915
261	0.1908761302
262	0.1906544045
263	0.1902669471
264	0.1897162653
265	0.1896494554
266	0.1895094681
267	0.1894228217
268	0.1891714125
269	0.1890314481
270	0.1887130038
271	0.1886491745
272	0.1884126179
273	0.1882082011
274	0.1880085217
275	0.1879394611
276	0.187604553
277	0.187347958
278	0.1870978402
279	0.1869291263
280	0.1867305067
281	0.1866225762
282	0.1861776715
283	0.1860911859
284	0.185893903
285	0.1857716363
286	0.1855609069
287	0.185236495
288	0.1849556906
289	0.1844976498
290	0.1844151746
291	0.1842079227
292	0.1840486512
293	0.1834281875
294	0.1832279858
295	0.1829732873
296	0.1827417534
297	0.1823883427
298	0.1821801741
299	0.1819379119
300	0.1817747469
301	0.1815217053
302	0.1813131992
303	0.1810440817
304	0.1807835463
305	0.1805668956
306	0.1800800132
307	0.1798354729
308	0.1797195493
309	0.1794721025
310	0.1792814212
311	0.179032235
312	0.1785556888
313	0.1782670025
314	0.1780488712
315	0.1778345322
316	0.1776436251
317	0.1774386919
318	0.1773329086
319	0.1772375724
320	0.1769735551
321	0.1765108095
322	0.1762459756
323	0.175821334
324	0.1756290165
325	0.1754568547
326	0.1748760942
327	0.1745304703
328	0.1742758188
329	0.1741573305
330	0.1739096489
331	0.1734736781
332	0.1732743682
333	0.1730768955
334	0.1727399033
335	0.1726797835
336	0.1725347252
337	0.1724091555
338	0.1721132541
339	0.1717067301
340	0.1714759866
341	0.1712488051
342	0.1710396224
343	0.1707192514
344	0.1705626416
345	0.1702142974
346	0.1698585698
347	0.1696535418
348	0.1692942339
349	0.1688703877
350	0.1687557893
351	0.1685015581
352	0.1682407862
353	0.1681482414
354	0.1678780706
355	0.1676982511
356	0.1673781354
357	0.1671774447
358	0.1670178366
359	0.1666802584
360	0.1662995872
361	0.1661995074
362	0.1658983679
363	0.1658902283
364	0.1657928328
365	0.1655085506
366	0.1651998924
367	0.1648625826
368	0.1646269878
369	0.1642675781
370	0.1641032486
371	0.163658193
372	0.1634688586
373	0.1632342731
374	0.1630855409
375	0.1628697974
376	0.1628334489
377	0.1625498476
378	0.1623007045
379	0.1620761497
380	0.1618161718
381	0.1614416988
382	0.161308943
383	0.1610771873
384	0.1608876571
385	0.1606340602
386	0.1601951
387	0.1601204906
388	0.1599798072
389	0.1598298842
390	0.1595886354
391	0.1592532426
392	0.1590644383
393	0.1586993526
394	0.1582902198
395	0.1582240476
396	0.1579131367
397	0.1574733044
398	0.1574194055
399	0.1569393022
400	0.1566818309
401	0.1565265802
402	0.1563388107
403	0.1562523438
404	0.1560275884
405	0.155775505
406	0.1555964202
407	0.155560081
408	0.1553905493
409	0.155271725
410	0.1551120863
411	0.1548468004
412	0.1546377317
413	0.1544248426
414	0.154027116
415	0.1537874514
416	0.1536443594
417	0.1533684763
418	0.1531251104
419	0.1529977569
420	0.1526909125
421	0.1523375684
422	0.1520769178
423	0.1517676815
424	0.1515561406
425	0.1513513257
426	0.1512002658
427	0.1508734382
428	0.150566115
429	0.1503916087
430	0.1502479963
431	0.1500311662
432	0.1496900871
433	0.1495742149
434	0.1493034301
435	0.1491130639
436	0.1488307001
437	0.1487429973
438	0.1484357267
439	0.1480038084
440	0.1478380926
441	0.1476760646
442	0.1473055346
443	0.1470169831
444	0.1467062943
445	0.146356018
446	0.1460949973
447	0.1459029317
448	0.1457349245
449	0.1456195427
450	0.1455224987
451	0.1453074541
452	0.1451709027
453	0.1447593877
454	0.1445786888
455	0.1443472532
456	0.144213127
457	0.1440406454
458	0.1439276212
459	0.1437614994
460	0.1437451742
461	0.143419048
462	0.14313568
463	0.142956538
464	0.1427755778
465	0.1425566499
466	0.1424180273
467	0.1421880308
468	0.1418654988
469	0.1417848401
470	0.1415918016
471	0.1413795138
472	0.1411926767
473	0.1410737527
474	0.1409503318
475	0.1407209663
476	0.1405498287
477	0.1403706437
478	0.1401578174
479	0.1399971177
480	0.1397506113
481	0.1395515505
482	0.1393658425
483	0.1392142038
484	0.1389759885
485	0.1387358359
486	0.138594098
487	0.1382270962
488	0.1380843929
489	0.1380793614
490	0.1377913436
491	0.1376869331
492	0.1375111614
493	0.1373258767
494	0.1370497077
495	0.136887943
496	0.1366463177
497	0.1363798643
498	0.136106707
499	0.1359951603
500	0.1358950162
501	0.1355825734
502	0.1353814356
503	0.1352376896
504	0.1351600345
505	0.1350649256
506	0.1348738641
507	0.13463979
508	0.1343531133
509	0.1341813047
510	0.1338767556
511	0.1336462524
512	0.1334243577
513	0.1331907923
514	0.1330589574
515	0.1329362854
516	0.1327302207
517	0.1326671186
518	0.1325635499
519	0.1322948014
520	0.1320937278
521	0.1318267412
522	0.1316977192
523	0.1315822362
524	0.1313659897
525	0.1311991476
526	0.1309948894
527	0.1308343791
528	0.1307292144
529	0.1305148464
530	0.13039421
531	0.130182487
532	0.130045402
533	0.1298324141
534	0.1295517057
535	0.1292631017
536	0.1290409809
537	0.1288754619
538	0.1287391098
539	0.1286498735
540	0.1285962012
541	0.1285433401
542	0.128384303
543	0.1281184567
544	0.1278642524
545	0.1277297229
546	0.1275758222
547	0.1272950756
548	0.1269983795
549	0.1268480855
550	0.126597737
551	0.1263385415
552	0.1261523981
553	0.1259167126
554	0.1256887171
555	0.1254826693
556	0.1253233229
557	0.1250069353
558	0.1247402836
559	0.1243922895
560	0.1243639947
561	0.1242962368
562	0.1241538747
563	0.1239671929
564	0.1237353017
565	0.1234776598
566	0.123333839
567	0.1231426514
568	0.1230757462
569	0.1229589079
570	0.1228339957
571	0.122638964
572	0.1224864337
573	0.1224264597
574	0.122210029
575	0.1221328799
576	0.1219466767
577	0.1217288828
578	0.1215442744
579	0.1212950038
580	0.1212494151
581	0.1211390876
582	0.1210212943
583	0.1208088892
584	0.1207483745
585	0.1207242188
586	0.1206158132
587	0.12052122
588	0.1204079164
589	0.1203349816
590	0.1200175781
591	0.1199683822
592	0.1197454478
593	0.1196859075
594	0.1195448584
595	0.1193314361
596	0.1191698274
597	0.1188900818
598	0.1186691537
599	0.1185138682
600	0.1183792794
601	0.1181717978
602	0.1181087801
603	0.11794237
604	0.1177226206
605	0.1175291484
606	0.1172298317
607	0.1170376478
608	0.1167575657
609	0.1164457989
610	0.1163041816
611	0.1161741134
612	0.1160812458
613	0.1158038337
614	0.1155975341
615	0.1154572814
616	0.1153248692
617	0.115147841
618	0.1149215893
619	0.1147669935
620	0.1147057225
621	0.1144244875
622	0.1142792383
623	0.1140173855
624	0.1138423023
625	0.1137146595
626	0.1136106685
627	0.1134880132
628	0.1133466805
629	0.113258603
630	0.1131565596
631	0.1129491529
632	0.1127832793
633	0.1127040424
634	0.1125310925
635	0.1123204293
636	0.1122164268
637	0.1120391371
638	0.111857449
639	0.111775919
640	0.1116020414
641	0.1114689191
642	0.1113422715
643	0.1112738204
644	0.1111468637
645	0.1109724639
646	0.1107542925
647	0.110628873
648	0.1104680651
649	0.1103059793
650	0.1101898847
651	0.110082096
652	0.1100164653
653	0.1099305166
654	0.1098341964
655	0.1097425365
656	0.1095564429
657	0.1094787607
658	0.1093665556
659	0.1092803411
660	0.1091703137
661	0.1090758818
662	0.1088972651
663	0.1086994171
664	0.1085979208
665	0.1085571405
666	0.1083424101
667	0.1081581109
668	0.1079742322
669	0.1078428696
670	0.1077126974
671	0.1075743062
672	0.1074620144
673	0.1074077623
674	0.1072804881
675	0.1069917701
676	0.1068854688
677	0.1067120931
678	0.1066108809
679	0.1063451077
680	0.106281748
681	0.1062152716
682	0.1061347017
683	0.1059326871
684	0.1058223159
685	0.1056831706
686	0.1056246628
687	0.1054855715
688	0.1054005546
689	0.1052228385
690	0.105153863
691	0.1049565702
692	0.1048257097
693	0.1047868511
694	0.1046280988
695	0.1044358125
696	0.1043330505
697	0.1041528026
698	0.1040778334
699	0.1040681654
700	0.103823559
701	0.1037333055
702	0.1036183704
703	0.1035424993
704	0.103479829
705	0.1033898239
706	0.1032948823
707	0.1031385666
708	0.1030447283
709	0.102992904
710	0.1028914139
711	0.1028145204
712	0.102767405
713	0.10259657
714	0.1024333395
715	0.1022911629
716	0.1021183764
717	0.1019906437
718	0.1018770378
719	0.1017275704
720	0.1016372783
721	0.1014693832
722	0.1012794773
723	0.1011724786
724	0.1010522392
725	0.1009120901
726	0.100709141
727	0.1004675192
728	0.1004290274
729	0.1003931985
730	0.1002101439
731	0.1000839965
732	0.1000548522
733	0.1000222109
734	0.100014376
735	0.0999931785
736	0.09982885002
737	0.09980179004
738	0.09979025587
739	0.09965607831
740	0.09953077579
741	0.09941784549
742	0.09927834276
743	0.09915754833
744	0.09903633739
745	0.0989366159
746	0.09868117132
747	0.09851872161
748	0.09849251624
749	0.09844040117
750	0.09829899946
751	0.09816694439
752	0.09798638864
753	0.09779940185
754	0.09766875589
755	0.09754201777
756	0.09741650856
757	0.09724590232
758	0.09709752104
759	0.0969841327
760	0.096929975
761	0.09682850525
762	0.09677687609
763	0.09664942211
764	0.09650901164
765	0.09642176446
766	0.09625439482
767	0.09624091581
768	0.09606209658
769	0.09591542684
770	0.09578809654
771	0.09559943864
772	0.09546368667
773	0.09532573816
774	0.09522189987
775	0.09504801312
776	0.09492879924
777	0.09475313534
778	0.09452943488
779	0.09435850505
780	0.09423772614
781	0.09413665063
782	0.09406047512
783	0.09404863968
784	0.09383282025
785	0.09375203892
786	0.09363662641
787	0.0935977817
788	0.0935257672
789	0.09345539232
790	0.0933941227
791	0.09324030239
792	0.09313900001
793	0.09299819985
794	0.09294642149
795	0.09284075542
796	0.09272928962
797	0.0926928686
798	0.09251673008
799	0.09244121522
800	0.09237184264
801	0.09231013305
802	0.09216416311
803	0.09208620125
804	0.0919016334
805	0.09173330721
806	0.09167576302
807	0.09157596573
808	0.09137728529
809	0.09120888113
810	0.09108916033
811	0.09102540965
812	0.09093888957
813	0.09087313538
814	0.09070967891
815	0.09060816549
816	0.09058632178
817	0.09047681731
818	0.09039133776
819	0.09028884199
820	0.09025366388
821	0.09016386922
822	0.09008756238
823	0.08994873311
824	0.08983274458
825	0.0897702714
826	0.0897573427
827	0.08957817698
828	0.08934059394
829	0.08919473234
830	0.08913631052
831	0.08905833205
832	0.08901747569
833	0.08893322165
834	0.08890920719
835	0.08882349592
836	0.08869844868
837	0.08859608764
838	0.08846150596
839	0.0883294086
840	0.08821208194
841	0.08810686798
842	0.08802172637
843	0.08796116663
844	0.08782967778
845	0.08772214904
846	0.08760340677
847	0.08749902047
848	0.08738494177
849	0.08719336532
850	0.08709211671
851	0.0869512598
852	0.08676642231
853	0.08664073293
854	0.08653779402
855	0.08648003247
856	0.08635643441
857	0.08630505642
858	0.08611282274
859	0.08601287628
860	0.08596086298
861	0.08594146515
862	0.08584202945
863	0.08581572354
864	0.08578137775
865	0.08572350175
866	0.08565465685
867	0.08553014614
868	0.0855211234
869	0.08544499826
870	0.08535445263
871	0.08525383462
872	0.08516673401
873	0.08509215643
874	0.08502546783
875	0.08493947697
876	0.0848557959
877	0.08474238334
878	0.08467819742
879	0.08459906642
880	0.0845452091
881	0.0844812515
882	0.08441266158
883	0.08426101397
884	0.08421497376
885	0.0841566223
886	0.08406985707
887	0.08400192288
888	0.08386220209
889	0.08380552595
890	0.08376648256
891	0.08364813782
892	0.08352152084
893	0.08341616152
894	0.08328653427
895	0.08318680481
896	0.08305379078
897	0.08292885824
898	0.08285946046
899	0.08272957202
